target,process,rate_coefficient_m3_s,en_td
Ar,{IONIZATION: Ar -> Ar^+},-3.822014258371291e-30,1.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},-1.065607906996486e-30,1.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},-1.953085899352231e-30,1.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},-7.359946960691326e-31,1.0
Ar,{IONIZATION: Ar -> Ar^+},-5.731473617424616e-31,1.5
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},2.699647099057556e-30,1.5
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},1.52804301747921e-30,1.5
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},1.3972287023770986e-32,1.5
Ar,{IONIZATION: Ar -> Ar^+},-2.525399204244738e-29,2.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},3.683010552140732e-26,2.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},-8.794398553948892e-30,2.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},-4.7622002241289676e-30,2.0
Ar,{IONIZATION: Ar -> Ar^+},1.4503615042686375e-30,3.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},1.3547073264072024e-21,3.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},1.6984646591066453e-25,3.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},6.099511822511667e-30,3.0
Ar,{IONIZATION: Ar -> Ar^+},-2.979125280058173e-30,4.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},6.69464370831722e-20,4.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},8.088699015148499e-23,4.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},2.226318222317096e-26,4.0
Ar,{IONIZATION: Ar -> Ar^+},4.127901001471034e-28,5.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},4.0375058582728766e-19,5.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},1.890319743653688e-21,5.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},2.091654643267391e-24,5.0
Ar,{IONIZATION: Ar -> Ar^+},1.7394832843295472e-23,10.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},5.8632456734654886e-18,10.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},3.3113869536244587e-19,10.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},5.9757717411891855e-21,10.0
Ar,{IONIZATION: Ar -> Ar^+},2.772398175118688e-20,20.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},2.4180313256192146e-17,20.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},4.8769534239577984e-18,20.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},3.6307703360401555e-19,20.0
Ar,{IONIZATION: Ar -> Ar^+},2.1569421671576737e-18,40.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},7.335121722470437e-17,40.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},3.066476709146451e-17,40.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},4.850596762419249e-18,40.0
Ar,{IONIZATION: Ar -> Ar^+},3.739305580241438e-17,80.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},1.8933489003849584e-16,80.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},1.2645435658991449e-16,80.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},2.979876756440651e-17,80.0
Ar,{IONIZATION: Ar -> Ar^+},1.3402013844168366e-16,120.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},3.095598852856417e-16,120.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},2.564901137970268e-16,120.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},6.992166011289364e-17,120.0
Ar,{IONIZATION: Ar -> Ar^+},5.207692533853496e-16,200.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},5.479865409867132e-16,200.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},5.7503078455458e-16,200.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},1.807161034647958e-16,200.0
Ar,{IONIZATION: Ar -> Ar^+},1.3371502974652633e-15,300.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},8.427064444026657e-16,300.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},1.0405750959778465e-15,300.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},3.625985439313381e-16,300.0
Ar,{IONIZATION: Ar -> Ar^+},3.908533837185508e-15,500.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},1.438781697417553e-15,500.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},2.1007689601606032e-15,500.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},8.398423780747682e-16,500.0
Ar,{IONIZATION: Ar -> Ar^+},8.516863502685489e-15,750.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},2.214154334376429e-15,750.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},3.5467129062097563e-15,750.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},1.6047470216364009e-15,750.0
Ar,{IONIZATION: Ar -> Ar^+},1.4226190919163433e-14,1000.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},3.010683087543472e-15,1000.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},5.014285694046477e-15,1000.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},2.506963031120653e-15,1000.0
Ar,{IONIZATION: Ar -> Ar^+},4.116622111489308e-14,2000.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},5.950397372694487e-15,2000.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},9.988238658957292e-15,2000.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},6.6804158508965244e-15,2000.0
Ar,{IONIZATION: Ar -> Ar^+},6.69586426658951e-14,3000.0
Ar,{EXCITATION: Ar -> Ar*(11.55eV)},8.091622799757875e-15,3000.0
Ar,{EXCITATION: Ar -> Ar*(13.00eV)},1.3170760051716545e-14,3000.0
Ar,{EXCITATION: Ar -> Ar*(14.00eV)},1.072652449136333e-14,3000.0
